SoC_CH;OCP_NE_CH;OCP_PE_CH;SoC_DCH;OCP_NE_DCH;OCP_PE_DCH;Q_Ch;Q_Dch
0.101050525;0.263038489;3.644691595;0.101050525;0.507221769;3.646593346;0.792913624;0.766615386
0.101550775;0.262478254;3.644876168;0.101550775;0.50624053;3.646772381;0.796838939;0.770410512
0.102051026;0.261912364;3.645051792;0.102051026;0.505264152;3.646953656;0.800764254;0.774205637
0.102551276;0.261358697;3.645238772;0.102551276;0.504293128;3.647131892;0.804689569;0.778000763
0.103051526;0.260808162;3.645424322;0.103051526;0.503329158;3.647312397;0.808614884;0.781795889
0.103551776;0.260262997;3.645610716;0.103551776;0.50237722;3.647500363;0.812540199;0.785591014
0.104052026;0.259719725;3.64579614;0.104052026;0.501424149;3.647680385;0.816465514;0.78938614
0.104552276;0.259170152;3.645973623;0.104552276;0.500477114;3.647864943;0.820390829;0.793181266
0.105052526;0.258624366;3.646151657;0.105052526;0.499538924;3.648049685;0.824316144;0.796976391
0.105552776;0.25808534;3.646331096;0.105552776;0.498612577;3.64823992;0.828241459;0.800771517
0.106053027;0.257543794;3.646506617;0.106053027;0.49767841;3.648426149;0.832166774;0.804566643
0.106553277;0.257004825;3.646681054;0.106553277;0.496751496;3.648611962;0.836092089;0.808361768
0.107053527;0.256477333;3.646862319;0.107053527;0.495832277;3.648802031;0.840017403;0.812156894
0.107553777;0.255948015;3.647041958;0.107553777;0.494915896;3.648991147;0.843942718;0.81595202
0.108054027;0.255420619;3.647221936;0.108054027;0.494007407;3.649184434;0.847868033;0.819747145
0.108554277;0.254891553;3.647399603;0.108554277;0.493101252;3.649377267;0.851793348;0.823542271
0.109054527;0.254371752;3.647582884;0.109054527;0.49219512;3.649568086;0.855718663;0.827337397
0.109554777;0.253843227;3.647756717;0.109554777;0.491294029;3.649759695;0.859643978;0.831132522
0.110055028;0.253319514;3.647935715;0.110055028;0.49039771;3.64995888;0.863569293;0.834927648
0.110555278;0.252799019;3.648114296;0.110555278;0.489502341;3.650156288;0.867494608;0.838722774
0.111055528;0.252277873;3.648288795;0.111055528;0.488609382;3.650351614;0.871419923;0.842517899
0.111555778;0.251760991;3.64846817;0.111555778;0.487720415;3.650552099;0.875345238;0.846313025
0.112056028;0.251243329;3.648644149;0.112056028;0.486832594;3.650753188;0.879270553;0.850108151
0.112556278;0.250733638;3.648827997;0.112556278;0.48594468;3.650952005;0.883195868;0.853903276
0.113056528;0.25022206;3.649007231;0.113056528;0.485062272;3.651153282;0.887121183;0.857698402
0.113556778;0.249713421;3.649187509;0.113556778;0.484179662;3.651356245;0.891046498;0.861493528
0.114057029;0.249202468;3.64936526;0.114057029;0.483297734;3.651559442;0.894971813;0.865288654
0.114557279;0.248694833;3.649544226;0.114557279;0.48241836;3.651765042;0.898897128;0.869083779
0.115057529;0.24819084;3.6497256;0.115057529;0.481537823;3.651967348;0.902822443;0.872878905
0.115557779;0.247691857;3.649910214;0.115557779;0.480662363;3.652176307;0.906747758;0.876674031
0.116058029;0.247192264;3.650093347;0.116058029;0.479785376;3.652382331;0.910673073;0.880469156
0.116558279;0.246696693;3.6502771;0.116558279;0.47891092;3.652593544;0.914598388;0.884264282
0.117058529;0.246201832;3.650461993;0.117058529;0.478034024;3.652802172;0.918523703;0.888059408
0.117558779;0.245711233;3.650650174;0.117558779;0.477159507;3.653012445;0.922449018;0.891854533
0.11805903;0.245220905;3.650836099;0.11805903;0.476284751;3.653223045;0.926374333;0.895649659
0.11855928;0.244722911;3.651016562;0.11855928;0.475414157;3.653437665;0.930299648;0.899444785
0.11905953;0.244238595;3.651204952;0.11905953;0.474541665;3.653653513;0.934224963;0.90323991
0.11955978;0.243753652;3.651393608;0.11955978;0.473669015;3.653868984;0.938150278;0.907035036
0.12006003;0.243274656;3.651588174;0.12006003;0.472791494;3.654082623;0.942075593;0.910830162
0.12056028;0.242793612;3.651778648;0.12056028;0.471916322;3.654302541;0.946000908;0.914625287
0.12106053;0.242318941;3.651974406;0.12106053;0.471036184;3.654519502;0.949926223;0.918420413
0.12156078;0.241843669;3.652167198;0.12156078;0.470156627;3.654736648;0.953851538;0.922215539
0.122061031;0.241368531;3.652364155;0.122061031;0.469278726;3.654955783;0.957776853;0.926010664
0.122561281;0.240895185;3.652559309;0.122561281;0.468405513;3.655184157;0.961702168;0.92980579
0.123061531;0.24042225;3.652754956;0.123061531;0.467522465;3.655401973;0.965627483;0.933600916
0.123561781;0.239952674;3.652952106;0.123561781;0.466637995;3.655625879;0.969552797;0.937396041
0.124062031;0.239485194;3.653151641;0.124062031;0.4657543;3.655851059;0.973478112;0.941191167
0.124562281;0.239016746;3.653348913;0.124562281;0.464866634;3.656075785;0.977403427;0.944986293
0.125062531;0.238555046;3.653555091;0.125062531;0.463979224;3.656302972;0.981328742;0.948781418
0.125562781;0.238091366;3.653756661;0.125562781;0.463087357;3.656529169;0.985254057;0.952576544
0.126063032;0.237626911;3.653958273;0.126063032;0.462193941;3.656756571;0.989179372;0.95637167
0.126563282;0.237163703;3.654160952;0.126563282;0.461299925;3.656986835;0.993104687;0.960166795
0.127063532;0.236702852;3.65436658;0.127063532;0.460404518;3.657222266;0.997030002;0.963961921
0.127563782;0.236243487;3.654573697;0.127563782;0.459506618;3.657452765;1.000955317;0.967757047
0.128064032;0.235788442;3.654782924;0.128064032;0.458606107;3.657684609;1.004880632;0.971552172
0.128564282;0.235335842;3.654999215;0.128564282;0.457704843;3.657920575;1.008805947;0.975347298
0.129064532;0.234880834;3.655206723;0.129064532;0.456799012;3.658152416;1.012731262;0.979142424
0.129564782;0.234430673;3.655420471;0.129564782;0.455892084;3.658387165;1.016656577;0.982937549
0.130065033;0.233978222;3.655634078;0.130065033;0.454983926;3.658624358;1.020581892;0.986732675
0.130565283;0.233523371;3.6558424;0.130565283;0.454073131;3.658861569;1.024507207;0.990527801
0.131065533;0.233076772;3.656061067;0.131065533;0.453157802;3.659100968;1.028432522;0.994322926
0.131565783;0.232627908;3.656275484;0.131565783;0.452241274;3.659340851;1.032357837;0.998118052
0.132066033;0.232179965;3.656491307;0.132066033;0.451323662;3.659580867;1.036283152;1.001913178
0.132566283;0.231733344;3.656712163;0.132566283;0.450402952;3.659823516;1.040208467;1.005708303
0.133066533;0.231288544;3.656933808;0.133066533;0.449478367;3.6600631;1.044133782;1.009503429
0.133566783;0.230843686;3.657153328;0.133566783;0.448552727;3.660309584;1.048059097;1.013298555
0.134067034;0.230400413;3.657376692;0.134067034;0.447624128;3.660553845;1.051984412;1.01709368
0.134567284;0.229957301;3.65760189;0.134567284;0.446690076;3.660796779;1.055909727;1.020888806
0.135067534;0.229514929;3.657827923;0.135067534;0.445752795;3.661041861;1.059835042;1.024683932
0.135567784;0.229071202;3.658050867;0.135567784;0.444811955;3.661288133;1.063760357;1.028479057
0.136068034;0.228634386;3.658282296;0.136068034;0.443874014;3.661540272;1.067685672;1.032274183
0.136568284;0.228191702;3.658508797;0.136568284;0.44292534;3.661786952;1.071610987;1.036069309
0.137068534;0.227739494;3.65872539;0.137068534;0.441977449;3.662036483;1.075536302;1.039864434
0.137568784;0.227304984;3.658959757;0.137568784;0.441027176;3.662290918;1.079461617;1.04365956
0.138069035;0.226864057;3.659187036;0.138069035;0.4400723;3.662540953;1.083386932;1.047454686
